,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
14,T Caruana (GIBR),201902019,2,1,0,5,5,5,13,38.46,0,0,0,0,0
15,Hasheem Shahzad (MALTA),201902019,2,2,0,5,5,2.5,9,55.55,0,0,1,1,0
16,Imran Ali (KUW),201902019,4,2,1,5,5*,5,6,83.33,0,0,1,0,0
17,Junaid Siddique (UAE),201902019,8,4,1,5,3,1.66,17,29.41,0,0,1,0,0
18,I Katzarski (),201902019,3,2,0,5,3,2.5,12,41.66,0,0,0,0,0
19,D Kegasitswe (Botsw),201902019,4,2,2,5,4*,0,11,45.45,0,0,0,0,0
20,TCR Kimber (GUE),201902019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0
21,A Krishna (SGP),201902019,4,2,1,5,4,5,3,166.66,0,0,0,1,0
22,AM McCarthy (WI),201802018,1,1,0,5,5,5,8,62.5,0,0,0,0,0
23,GD McGrath (AUS),200502005,2,1,0,5,5,5,12,41.66,0,0,0,0,0
24,CS Martin (NZ),200702008,6,1,1,5,5*,0,6,83.33,0,0,0,0,0
25,Mohammad Hasnain (PAK),201902019,4,3,2,5,4*,5,12,41.66,0,0,0,1,0
26,Mohammad Salman (PAK),201102011,1,1,0,5,5,5,6,83.33,0,0,0,0,0
27,A Morris (Caym),201902019,6,4,2,5,3*,2.5,17,29.41,0,0,1,0,0
28,GRD Munasinghe (ITA),201902019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0
29,T Mupariwa (ZIM),200702008,4,2,2,5,3*,0,3,166.66,0,0,0,0,0
30,N M'shangwe (ZIM),201302014,5,2,1,5,5*,5,4,125,0,0,1,1,0
31,A Nanda (LUX),201902019,3,1,0,5,5,5,5,100,0,0,0,1,0
32,GM Ntambalika (MWI),201902019,3,1,0,5,5,5,11,45.45,0,0,0,0,0
33,Parvez Rasool (INDIA),201702017,1,1,0,5,5,5,6,83.33,0,0,0,0,0
34,NK Patel (USA),201902019,4,2,1,5,5*,5,10,50,0,0,1,0,0
35,D Paterson (SA),201702018,8,2,1,5,4*,5,2,250,0,0,0,1,0
36,JL Pattinson (AUS),201102012,4,2,2,5,5*,0,3,166.66,0,0,0,1,0
37,JE Pitcher (BMUDA),201902019,3,1,1,5,5*,0,4,125,0,0,0,0,0
38,AG Prince (SA),200502005,1,1,0,5,5,5,6,83.33,0,0,0,0,0
39,K Rabada (SA),201402019,21,4,2,5,5*,2.5,12,41.66,0,0,2,0,0
40,RJ Ranpura (OMAN),201502016,3,2,2,5,5*,0,8,62.5,0,0,0,0,0
41,BM Scholtz (NAM),201902019,14,4,3,5,3*,5,10,50,0,0,1,0,0
42,RJ Sidebottom (ENG),200702010,18,1,1,5,5*,0,4,125,0,0,0,1,0
43,M Spry (Peru),201902019,4,2,1,5,3*,5,11,45.45,0,0,0,0,0
44,R Telemachus (SA),200602007,3,1,1,5,5*,0,3,166.66,0,0,0,0,0
45,BM Tickner (NZ),201902019,3,1,1,5,5*,0,6,83.33,0,0,0,0,0
46,DR Tuffey (NZ),200502010,3,2,1,5,5*,5,5,100,0,0,1,1,0
47,C Vorster (GUE),201902019,1,1,0,5,5,5,8,62.5,0,0,0,0,0
48,TD Astle (NZ),201602019,3,2,0,4,3,2,10,40,0,0,0,0,0
49,Baljit Singh (ITA),201902019,8,3,0,4,3,1.33,16,25,0,0,1,0,0
0,GJ Batty (ENG),200902009,1,1,0,4,4,4,7,57.14,0,0,0,0,0
1,P Bharat Patel (PNM),201902019,2,1,1,4,4*,0,7,57.14,0,0,0,0,0
2,SR Bhudia (KENYA),201902019,4,3,1,4,3,2,16,25,0,0,1,0,0
3,JAR Blain (SCOT),200702008,6,3,1,4,3*,2,5,80,0,0,1,0,0
4,CJ Boyce (AUS),201402016,7,2,1,4,3,4,7,57.14,0,0,0,0,0
5,PR Brown (ENG),201902019,4,1,1,4,4*,0,9,44.44,0,0,0,0,0
6,NM Carter (SCOT),201302013,7,2,0,4,3,2,12,33.33,0,0,0,0,0
7,YS Chahal (INDIA),201602019,36,3,2,4,3*,4,9,44.44,0,0,0,0,0
8,PC Connell (IRE),200802010,9,3,2,4,3*,4,7,57.14,0,0,1,0,0
9,PA Desai (CAN),201202012,1,1,1,4,4*,0,7,57.14,0,0,0,0,0
10,AB Dursak (TKY),201902019,4,4,0,4,3,1,24,16.66,0,0,2,0,0
11,C Emmott (Chile),201902019,2,2,0,4,4,2,11,36.36,0,0,1,0,0
12,Farhan Ahmed (UAE),201602016,3,1,0,4,4,4,8,50,0,0,0,0,0
13,K Gore (USA),201902019,4,1,1,4,4*,0,3,133.33,0,0,0,0,0
14,Ibrahim Rizan (Mald),201902019,5,3,1,4,3,2,14,28.57,0,0,0,0,0
15,Imran Haider (UAE),201602019,11,2,2,4,4*,0,8,50,0,0,0,0,0
16,H Ivanov (),201902019,3,1,0,4,4,4,6,66.66,0,0,0,0,0
17,A Karn (NEPAL),201502015,2,1,0,4,4,4,7,57.14,0,0,0,0,0
18,MF Koc (TKY),201902019,2,2,1,4,4*,4,15,26.66,0,0,1,0,0
19,CBRLS Kumara (SL),201902019,3,1,0,4,4,4,2,200,0,0,0,1,0
20,CK Langeveldt (SA),200502010,9,3,2,4,2*,4,8,50,0,0,0,0,0
21,NM Lyon (AUS),201602018,2,1,1,4,4*,0,4,100,0,0,0,0,0
22,RT Lyons (SCOT),201002010,2,2,0,4,4,2,17,23.52,0,0,1,0,0
23,GE Mathurin (WI),201102012,3,2,2,4,3*,0,5,80,0,0,0,0,0
24,Mohammad Irfan (PAK),201202019,22,4,4,4,2*,0,8,50,0,0,0,0,0
25,Mohammad Tauqir (UAE),201502015,3,2,1,4,4,4,6,66.66,0,0,0,1,0
26,Muhammad Khurram (MWI),201902019,5,3,0,4,3,1.33,20,20,0,0,1,0,0
27,Muhammad Rafique (BAH),201902019,2,1,0,4,4,4,5,80,0,0,0,0,0
28,JM Muirhead (AUS),201402014,5,2,1,4,3,4,8,50,0,0,0,0,0
29,Nazmus Sadat (BDESH),200602006,1,1,0,4,4,4,3,133.33,0,0,0,0,0
30,JO Ngoche (KENYA),201202013,7,3,1,4,2,2,17,23.52,0,0,0,0,0
31,Pavandeep Singh (MAL),201902019,10,4,3,4,2*,4,7,57.14,0,0,0,0,0
32,Qasim Zia (BAH),201902019,3,1,1,4,4*,0,1,400,0,0,0,1,0
33,NJ Reardon (AUS),201402014,2,1,0,4,4,4,8,50,0,0,0,0,0
34,CB Sole (SCOT),201702018,4,1,1,4,4*,0,2,200,0,0,0,1,0
35,CR Suryawanshi (SGP),201902019,3,2,0,4,4,2,6,66.66,0,0,1,0,0
36,K Suttisan (THAI),201902019,2,2,0,4,4,2,5,80,0,0,1,1,0
37,SP Terry (IRE),201602016,1,1,0,4,4,4,6,66.66,0,0,0,0,0
38,T Thushara (SL),200802010,6,2,0,4,3,2,8,50,0,0,0,0,0
39,T Tshose (Botsw),201902019,2,2,2,4,4*,0,6,66.66,0,0,0,0,0
40,T Ulutuna (TKY),201902019,3,3,0,4,4,1.33,9,44.44,0,0,2,1,0
41,S Vashisht (ROM),201902019,3,1,0,4,4,4,6,66.66,0,0,0,1,0
42,Abu Jayed (BDESH),201802018,3,2,0,3,2,1.5,7,42.85,0,0,0,0,0
43,GJ Agius (MALTA),201902019,2,2,0,3,3,1.5,15,20,0,0,1,0,0
44,Amir Hayat (UAE),201802019,4,2,0,3,3,1.5,6,50,0,0,1,0,0
45,Amjad Mahboob (SGP),201902019,11,5,1,3,1*,0.75,14,21.42,0,0,2,0,0
46,A Aspiotis (),201902019,3,1,1,3,3*,0,4,75,0,0,0,0,0
47,MC Bascombe (WI),201102011,1,1,0,3,3,3,7,42.85,0,0,0,0,0
48,P Bhart (NOR),201902019,5,3,2,3,2*,3,17,17.64,0,0,1,0,0
49,S Byrne (MALTA),201902019,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0
0,CL Cairns (NZ),200502006,2,2,0,3,2,1.5,13,23.07,0,0,0,0,0
1,D de la Puente (Peru),201902019,2,2,1,3,2*,3,7,42.85,0,0,0,0,0
2,ST de Silva (SL),201702017,3,2,0,3,3,1.5,7,42.85,0,0,1,0,0
3,Fahad Ali (),201902019,3,3,0,3,2,1,14,21.42,0,0,1,0,0
4,Fawad Ahmed (AUS),201302013,2,1,1,3,3*,0,5,60,0,0,0,0,0
5,Fida Hussain (ITA),201902019,2,1,1,3,3*,0,4,75,0,0,0,0,0
6,WT Gavera (PNG),201502017,6,2,0,3,2,1.5,6,50,0,0,0,0,0
7,JOA Gordon (CAN),201302019,7,2,2,3,2*,0,6,50,0,0,0,0,0
8,AM Guruge (UAE),201402015,5,3,2,3,1*,3,8,37.5,0,0,0,0,0
9,Ibrahim Nashath (Mald),201902019,3,2,1,3,3*,3,5,60,0,0,1,0,0
10,Javed Maroofkhail (NOR),201902019,2,1,0,3,3,3,8,37.5,0,0,0,0,0
11,Junaid Khan (PAK),201102014,9,2,2,3,3*,0,4,75,0,0,0,0,0
12,MS Kasprowicz (AUS),200502005,2,1,1,3,3*,0,5,60,0,0,0,0,0
13,GJP Kruger (SA),200602006,1,1,0,3,3,3,5,60,0,0,0,0,0
14,Mahmad Data (PNM),201902019,2,1,0,3,3,3,5,60,0,0,0,0,0
15,Nazmul Hossain (BDESH),200902012,4,2,2,3,3*,0,15,20,0,0,0,0,0
16,R Olipa (UGA),201902019,2,1,0,3,3,3,4,75,0,0,0,0,0
17,M Patel (PNM),201902019,2,1,1,3,3*,0,6,50,0,0,0,0,0
18,LN Rajbanshi (NEPAL),201802019,12,2,1,3,3,3,7,42.85,0,0,0,0,0
19,KAJ Roach (WI),200802012,11,1,1,3,3*,0,2,150,0,0,0,0,0
20,MM Sharma (INDIA),201402015,8,2,2,3,3*,0,7,42.85,0,0,0,0,0
21,LA Simango (Moz),201902019,3,2,1,3,2,3,4,75,0,0,0,0,0
22,RP Singh (INDIA),200702009,10,2,2,3,2*,0,3,100,0,0,0,0,0
23,MJ Swepson (AUS),201802018,1,1,1,3,3*,0,4,75,0,0,0,0,0
24,Tauqeer Hussain (ESP),201902019,4,1,1,3,3*,0,3,100,0,0,0,0,0
25,R Ulutuna (TKY),201902019,4,4,0,3,1,0.75,16,18.75,0,0,1,0,0
26,SMK Waththage (CZK0R),201902019,5,1,0,3,3,3,5,60,0,0,0,0,0
27,Zahid Hussain (CAN),201202012,3,2,2,3,2*,0,8,37.5,0,0,0,0,0
28,Abdullah Mahmood (DEN),201902019,1,1,0,2,2,2,2,100,0,0,0,0,0
29,AG Achar (SGP),201902019,3,2,2,2,2*,0,2,100,0,0,0,0,0
30,N Advani (GIBR),201902019,1,1,0,2,2,2,4,50,0,0,0,0,0
31,Aftab Alam (AFG),201202018,12,5,3,2,1*,1,9,22.22,0,0,1,0,0
32,Areeb Quadir (Fin),201902019,2,1,0,2,2,2,12,16.66,0,0,0,0,0
33,Arshad Hayat (CZK0R),201902019,6,2,0,2,2,1,7,28.57,0,0,1,0,0
34,KMC Bandara (SL),201602016,1,1,1,2,2*,0,4,50,0,0,0,0,0
35,Bashir Shah (DEN),201902019,4,2,2,2,1*,0,2,100,0,0,0,0,0
36,A Bhattarai (NEPAL),201402014,1,1,0,2,2,2,3,66.66,0,0,0,0,0
37,JP Bray (IRE),200902009,2,2,0,2,2,1,17,11.76,0,0,1,0,0
38,GB Brent (ZIM),200602007,3,1,0,2,2,2,5,40,0,0,0,0,0
39,P Buccimazza (PORT),201902019,4,2,0,2,1,1,13,15.38,0,0,0,0,0
40,A Carthew (Chile),201902019,4,1,1,2,2*,0,2,100,0,0,0,0,0
41,S Chophel (BHU),201902019,1,1,1,2,2*,0,5,40,0,0,0,0,0
42,H Dajc (Serb),201902019,2,2,1,2,2*,2,3,66.66,0,0,1,0,0
43,Dawlat Ahmadzai (AFG),201002010,2,1,1,2,2*,0,3,66.66,0,0,0,0,0
44,MVT Fernando (SL),201702017,1,1,0,2,2,2,2,100,0,0,0,0,0
45,C Fry (LUX),201902019,3,1,0,2,2,2,6,33.33,0,0,0,0,0
46,BD Glover (NL),201902019,19,4,3,2,1*,2,8,25,0,0,1,0,0
47,Jandu Hamoud (KUW),201902019,6,1,0,2,2,2,4,50,0,0,0,0,0
48,RJ Harris (AUS),201002010,3,1,1,2,2*,0,1,200,0,0,0,0,0
49,BW Hilfenhaus (AUS),200702012,7,3,1,2,2,1,10,20,0,0,1,0,0
0,A Husain (Arg),201902019,5,1,1,2,2*,0,1,200,0,0,0,0,0
1,Ilyas Ahmed (KUW),201902019,6,3,2,2,1*,2,3,66.66,0,0,0,0,0
2,AJ Ireland (ZIM),200602006,1,1,1,2,2*,0,3,66.66,0,0,0,0,0
3,S Kansoy (TKY),201902019,4,4,0,2,2,0.5,7,28.57,0,0,3,0,0
4,A Khan (ENG),200902009,1,1,0,2,2,2,4,50,0,0,0,0,0
5,RJ Kirtley (ENG),200702007,1,1,1,2,2*,0,4,50,0,0,0,0,0
6,I Lisboa (Chile),201902019,1,1,0,2,2,2,3,66.66,0,0,0,0,0
7,J Long (PHI),201902019,2,1,1,2,2*,0,6,33.33,0,0,0,0,0
8,T Lungameni (NAM),201902019,6,1,1,2,2*,0,2,100,0,0,0,0,0
9,MJ Mason (NZ),200602008,3,1,0,2,2,2,2,100,0,0,0,0,0
10,Muslim Yar (GER),201902019,7,1,0,2,2,2,6,33.33,0,0,0,0,0
11,S Nadigotla (ROM),201902019,2,1,0,2,2,2,6,33.33,0,0,0,0,0
12,Najeeb Amar (HKG),201402014,1,1,0,2,2,2,9,22.22,0,0,0,0,0
13,W Nalisa (VAN),201902019,9,3,2,2,1*,2,4,50,0,0,1,0,0
14,Nazwan Ismail (Mald),201902019,3,1,1,2,2*,0,2,100,0,0,0,0,0
15,A Ndlovu (ZIM),201902019,3,1,0,2,2,2,4,50,0,0,0,0,0
16,K Nima (BHU),201902019,1,1,1,2,2*,0,3,66.66,0,0,0,0,0
17,Noman Kamawi (Belg),201902019,1,1,0,2,2,2,7,28.57,0,0,0,0,0
18,L Nou (PNG),201502015,3,1,1,2,2*,0,3,66.66,0,0,0,0,0
19,S Saeed (Mald),201902019,5,1,0,2,2,2,4,50,0,0,0,0,0
20,Saqlain Ali (Belg),201902019,2,1,0,2,2,2,6,33.33,0,0,0,0,0
21,Shoaib Gazi Hossain (Chile),201902019,4,1,0,2,2,2,5,40,0,0,0,0,0
22,Suhrid Roy (MALTA),201902019,1,1,1,2,2*,0,3,66.66,0,0,0,0,0
23,A Tripathi (Mex),201902019,3,2,2,2,1*,0,4,50,0,0,0,0,0
24,LL Tsotsobe (SA),200902014,23,3,2,2,1*,2,10,20,0,0,0,0,0
25,Usman Shinwari (PAK),201302019,16,3,3,2,2*,0,3,66.66,0,0,0,0,0
26,S Vijayakumar (SGP),201902019,9,2,0,2,1,1,5,40,0,0,0,0,0
27,R Vinay Kumar (INDIA),201002013,9,1,1,2,2*,0,4,50,0,0,0,0,0
28,Waqar Khan (Peru),201902019,4,2,1,2,2*,2,3,66.66,0,0,1,0,0
29,Waqas Raja (Fin),201902019,1,1,1,2,2*,0,2,100,0,0,0,0,0
30,UWMBCA Welegedara (SL),201002010,2,1,1,2,2*,0,3,66.66,0,0,0,0,0
31,BTJ Wheal (SCOT),201602017,5,2,2,2,2*,0,2,100,0,0,0,0,0
32,UT Yadav (INDIA),201202019,7,1,0,2,2,2,4,50,0,0,0,0,0
33,Zaheer Maqsood (UAE),201502016,3,1,0,2,2,2,5,40,0,0,0,0,0
34,Z Abbasi (Botsw),201902019,1,1,0,1,1,1,5,20,0,0,0,0,0
35,KK Ahmed (INDIA),201802019,14,1,1,1,1*,0,1,100,0,0,0,0,0
36,J Allen (),201902019,2,2,1,1,1*,1,4,25,0,0,1,0,0
37,HS Alta (TKY),201902019,4,4,1,1,1*,0.33,10,10,0,0,3,0,0
38,JM Anderson (ENG),200702009,19,4,3,1,1*,1,2,50,0,0,1,0,0
39,B Angeltti (Arg),201902019,3,1,0,1,1,1,4,25,0,0,0,0,0
40,V Ateak (Ghana),201902019,4,1,1,1,1*,0,2,50,0,0,0,0,0
41,Awais Malik (QAT),201902019,11,4,0,1,1,0.25,4,25,0,0,3,0,0
42,Babar Ali (BAH),201902019,3,1,1,1,1*,0,1,100,0,0,0,0,0
43,DE Bernard (WI),200902009,1,1,1,1,1*,0,1,100,0,0,0,0,0
44,S Bhari (NEPAL),201902019,6,3,2,1,1*,1,5,20,0,0,1,0,0
45,DE Bollinger (AUS),201102014,9,2,2,1,1*,0,1,100,0,0,0,0,0
46,DR Brown (SCOT),200702007,2,1,0,1,1,1,5,20,0,0,0,0,0
47,N Buckle (GUE),201902019,3,1,1,1,1*,0,1,100,0,0,0,0,0
48,DL Chahar (INDIA),201802019,10,2,2,1,1*,0,1,100,0,0,0,0,0
49,R Dhawan (INDIA),201602016,1,1,1,1,1*,0,2,50,0,0,0,0,0
0,Dhiman Ghosh (BDESH),200802008,1,1,0,1,1,1,2,50,0,0,0,0,0
1,HH Dippenaar (SA),200602006,1,1,0,1,1,1,5,20,0,0,0,0,0
2,B Dugic (Serb),201902019,2,1,0,1,1,1,4,25,0,0,0,0,0
3,GDR Eranga (CAN),201902019,9,1,0,1,1,1,1,100,0,0,0,0,0
4,AC Evans (SCOT),201502019,27,6,1,1,1*,0.2,10,10,0,0,5,0,0
5,LH Ferguson (NZ),201702019,8,1,0,1,1,1,3,33.33,0,0,0,0,0
6,P Florin (ROM),201902019,4,2,1,1,1*,1,1,100,0,0,1,0,0
7,MD Garratt (GIBR),201902019,4,2,1,1,1,1,5,20,0,0,0,0,0
8,A Gavde (Caym),201902019,1,1,0,1,1,1,6,16.66,0,0,0,0,0
9,O Goker (TKY),201902019,1,1,1,1,1*,0,1,100,0,0,0,0,0
10,Hashmatullah Shahidi (AFG),201302013,1,1,1,1,1*,0,1,100,0,0,0,0,0
11,GM Hyde (Blz),201902019,3,1,0,1,1,1,6,16.66,0,0,0,0,0
12,JS Jesani (KENYA),200702007,1,1,0,1,1,1,5,20,0,0,0,0,0
13,MBS Jonkman (NL),201002010,3,1,0,1,1,1,8,12.5,0,0,0,0,0
14,B Khumalo (Botsw),201902019,3,1,0,1,1,1,3,33.33,0,0,0,0,0
15,GE Kidd (IRE),201002010,1,1,1,1,1*,0,1,100,0,0,0,0,0
16,VJ Kingma (NL),201602019,4,2,1,1,1,1,5,20,0,0,0,0,0
17,DS Kulkarni (INDIA),201602016,2,1,1,1,1*,0,1,100,0,0,0,0,0
18,A Lagos (),201902019,1,1,1,1,1*,0,4,25,0,0,0,0,0
19,J Lewis (ENG),200502007,2,2,1,1,1,1,4,25,0,0,0,0,0
20,J Louw (SA),200802009,2,1,1,1,1*,0,1,100,0,0,0,0,0
21,R Mahajan (PHI),201902019,3,1,1,1,1*,0,1,100,0,0,0,0,0
22,SI Mahmood (ENG),200602009,4,2,2,1,1*,0,2,50,0,0,0,0,0
23,RD McCann (IRE),201202012,3,1,0,1,1,1,2,50,0,0,0,0,0
24,MR Montfort (CAN),201902019,1,1,1,1,1*,0,1,100,0,0,0,0,0
25,Muhammed Shanil (UAE),201602016,1,1,1,1,1*,0,3,33.33,0,0,0,0,0
26,M Muralitharan (SL),200602010,12,2,0,1,1,0.5,5,20,0,0,1,0,0
27,B Muzarabani (ZIM),201802018,6,3,2,1,1*,1,5,20,0,0,1,0,0
28,M Nasim Baras (AFG),201502015,3,1,0,1,1,1,2,50,0,0,0,0,0
29,A Nathwani (Aut),201902019,5,1,1,1,1*,0,1,100,0,0,0,0,0
30,R Neale (LUX),201902019,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
31,ML Nkala (ZIM),200602006,1,1,0,1,1,1,3,33.33,0,0,0,0,0
32,MS Panesar (ENG),200702007,1,1,0,1,1,1,2,50,0,0,0,0,0
33,SD Parry (ENG),201402015,5,1,0,1,1,1,1,100,0,0,0,0,0
34,MDK Perera (SL),201102011,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
35,DBL Powell (WI),200702007,5,1,1,1,1*,0,1,100,0,0,0,0,0
36,EC Rainsford (ZIM),201002010,2,1,1,1,1*,0,2,50,0,0,0,0,0
37,KB Ratilal (PNM),201902019,3,1,1,1,1*,0,2,50,0,0,0,0,0
38,EB Ringera (KENYA),201902019,1,1,0,1,1,1,3,33.33,0,0,0,0,0
39,WJR Robertson (JER),201902019,6,2,2,1,1*,0,2,50,0,0,0,0,0
40,BA Sambo (Moz),201902019,2,1,1,1,1*,0,1,100,0,0,0,0,0
41,O Sam Arthur (CRC),201902019,3,2,1,1,1,1,1,100,0,0,0,0,0
42,Sandeep Sharma (INDIA),201502015,2,1,1,1,1*,0,1,100,0,0,0,0,0
43,M Sarenac (Serb),201902019,2,1,0,1,1,1,2,50,0,0,0,0,0
44,Sayed Shirzad (AFG),201502019,4,1,0,1,1,1,2,50,0,0,0,0,0
45,ZK Shem (VAN),201902019,5,2,2,1,1*,0,4,25,0,0,0,0,0
46,PM Siddle (AUS),200902010,2,1,1,1,1*,0,1,100,0,0,0,0,0
47,KM Silva (),201902019,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
48,Sohail Khan (PAK),200802017,5,1,1,1,1*,0,1,100,0,0,0,0,0
49,Sohrawordi Shuvo (BDESH),201002010,1,1,1,1,1*,0,3,33.33,0,0,0,0,0
0,AL Stephen (VAN),201902019,2,1,0,1,1,1,2,50,0,0,0,0,0
1,EP Thompson (NZ),200802008,1,1,1,1,1*,0,1,100,0,0,0,0,0
2,RJW Topley (ENG),201502016,6,1,1,1,1*,0,2,50,0,0,0,0,0
3,TE Tucker (BMUDA),200802008,1,1,0,1,1,1,5,20,0,0,0,0,0
4,T Turan (TKY),201902019,4,4,0,1,1,0.25,17,5.88,0,0,3,0,0
5,R van der Merwe (Arg),201902019,5,2,2,1,1*,0,1,100,0,0,0,0,0
6,I Wardlaw (SCOT),201302013,4,1,0,1,1,1,3,33.33,0,0,0,0,0
7,Wasim Ali (OMAN),201902019,1,1,0,1,1,1,4,25,0,0,0,0,0
8,G Wijekoon (SL),200702007,3,2,1,1,1*,1,5,20,0,0,1,0,0
9,JD Wildermuth (AUS),201802018,2,1,1,1,1*,0,1,100,0,0,0,0,0
10,Yamin Ahmadzai (AFG),201502015,2,1,1,1,1*,0,1,100,0,0,0,0,0
11,Zaki Ul Hassan (Belg),201902019,3,1,0,1,1,1,2,50,0,0,0,0,0
12,Zeeshan Abbas (BAH),201902019,1,1,0,1,1,1,4,25,0,0,0,0,0
13,Abdul Shakoor (ROM),201902019,2,1,0,0,0,0,3,0,0,0,1,0,0
14,AS Abioye (NGA),201902019,5,1,1,0,0*,0,0,0,0,0,0,0,0
15,Aizaz Cheema (PAK),201102012,5,1,1,0,0*,0,3,0,0,0,0,0,0
16,C Akyuz (TKY),201902019,2,2,0,0,0,0,3,0,0,0,2,0,0
17,Ali Naqi (PORT),201902019,4,1,1,0,0*,0,0,0,0,0,0,0,0
18,MA Aponso (SL),201802018,3,1,0,0,0,0,2,0,0,0,1,0,0
19,S Arachchige (ITA),201902019,4,1,0,0,0,0,2,0,0,0,1,0,0
20,Ashiqullah Said (Belg),201902019,3,1,0,0,0,0,1,0,0,0,1,0,0
21,SK Atai (PNG),201902019,2,1,0,0,0,0,1,0,0,0,1,0,0
22,MS Aulakh (CAN),201202013,3,1,0,0,0,0,2,0,0,0,1,0,0
23,CT Bancroft (AUS),201602016,1,1,1,0,0*,0,0,0,0,0,0,0,0
24,M Bhanuka (SL),201902019,2,1,0,0,0,0,1,0,0,0,1,0,0
25,IDR Bradshaw (WI),200602006,1,1,1,0,0*,0,0,0,0,0,0,0,0
26,DR Briggs (ENG),201202014,7,1,1,0,0*,0,0,0,0,0,0,0,0
27,AF Buurman (NL),201002010,4,2,0,0,0,0,4,0,0,0,2,0,0
28,PP Chawla (INDIA),201002012,7,1,0,0,0,0,1,0,0,0,1,0,0
29,DO Christian (WI),201102011,2,1,0,0,0,0,2,0,0,0,1,0,0
30,I Civric (Serb),201902019,1,1,0,0,0,0,1,0,0,0,1,0,0
31,S Dalton (CZK0R),201902019,3,1,0,0,0,0,1,0,0,0,1,0,0
32,N Dipakkumar Patel (PNM),201902019,3,1,0,0,0,0,0,0,0,0,1,0,0
33,JN Dorji (BHU),201902019,1,1,0,0,0,0,0,0,0,0,1,0,0
34,Ehsan Nawaz (HKG),201402017,5,1,0,0,0,0,2,0,0,0,1,0,0
35,M Faheem (THAI),201902019,4,1,0,0,0,0,2,0,0,0,1,0,0
36,Fakhrul Mohon (PORT),201902019,4,1,0,0,0,0,0,0,0,0,1,0,0
37,Fiaz Ahmad (KUW),201902019,3,1,1,0,0*,0,0,0,0,0,0,0,0
38,GC Galanis (),201902019,2,1,0,0,0,0,1,0,0,0,1,0,0
39,Gershon Yusuf (NGA),201902019,1,1,0,0,0,0,1,0,0,0,1,0,0
40,L Gharasim (ROM),201902019,2,1,0,0,0,0,1,0,0,0,1,0,0
41,M Goonetilleke (MALTA),201902019,1,1,0,0,0,0,1,0,0,0,1,0,0
42,SM Harwood (AUS),200702009,3,1,1,0,0*,0,0,0,0,0,0,0,0
43,T Henderson (SA),200602006,1,1,0,0,0,0,2,0,0,0,1,0,0
44,KC Hodsoll (BMUDA),200802008,1,1,0,0,0,0,1,0,0,0,1,0,0
45,Imran Khan (1) (PAK),201502015,3,1,0,0,0,0,1,0,0,0,1,0,0
46,P Kerai (KENYA),201902019,6,1,0,0,0,0,1,0,0,0,1,0,0
47,S Keshvani (CAN),201002010,2,1,1,0,0*,0,1,0,0,0,0,0,0
48,RN Lewis (WI),200802008,1,1,0,0,0,0,4,0,0,0,1,0,0
49,CA Liyanage (Mald),201902019,2,2,1,0,0*,0,1,0,0,0,1,0,0
0,K Loday (BHU),201902019,1,1,1,0,0*,0,1,0,0,0,0,0,0
1,AJ McKay (NZ),201002010,2,1,0,0,0,0,1,0,0,0,1,0,0
2,GI Maiden (SCOT),200802008,3,1,0,0,0,0,1,0,0,0,1,0,0
3,OM Marshall (Peru),201902019,3,1,0,0,0,0,3,0,0,0,1,0,0
4,M Meade (Chile),201902019,1,1,0,0,0,0,2,0,0,0,1,0,0
5,A Mehmood (HKG),201602016,2,1,1,0,0*,0,1,0,0,0,0,0,0
6,Michael Nazir (MALTA),201902019,1,1,0,0,0,0,2,0,0,0,1,0,0
7,TS Mills (ENG/ICC),201602018,5,1,0,0,0,0,2,0,0,0,1,0,0
8,A Mishra (INDIA),201002017,10,1,0,0,0,0,0,0,0,0,1,0,0
9,Mohameed Taiwo (NGA),201902019,2,1,1,0,0*,0,0,0,0,0,0,0,0
10,Mohammad Kashif (NL),201002010,3,1,1,0,0*,0,0,0,0,0,0,0,0
11,Mohammad Qazi (CAN),200802008,1,1,0,0,0,0,1,0,0,0,1,0,0
12,Mohammed Nadeem (QAT),201902019,15,2,2,0,0*,0,1,0,0,0,0,0,0
13,HJC Mol (NL),200802008,4,1,0,0,0,0,1,0,0,0,1,0,0
14,JK Mukhiya (NEPAL),201402015,4,1,1,0,0*,0,0,0,0,0,0,0,0
15,Musa Shaheen (DEN),201902019,1,1,0,0,0,0,3,0,0,0,1,0,0
16,T Muzarabani (ZIM),201502016,9,1,1,0,0*,0,2,0,0,0,0,0,0
17,Naveed Ahmed (CZK0R),201902019,7,1,0,0,0,0,1,0,0,0,1,0,0
18,Nawaf Ahmed (KUW),201902019,1,1,1,0,0*,0,0,0,0,0,0,0,0
19,A Nel (SA),200502007,2,1,1,0,0*,0,2,0,0,0,0,0,0
20,AA Noffke (AUS),200702008,2,1,0,0,0,0,0,0,0,0,1,0,0
21,Noor Momand (Belg),201902019,2,1,1,0,0*,0,0,0,0,0,0,0,0
