,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
19,Sidhant Singh (SGP),201902019,8,6,2,25,12,6.25,26,96.15,0,0,1,1,1
20,A Srivastav (Chile),201902019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0
21,Tahir Dar (BAH),201902019,4,2,0,25,15,12.5,25,100,0,0,0,1,2
22,Vinod Kumar (ESP),201902019,3,3,1,25,17,12.5,30,83.33,0,0,0,3,0
23,Adil Hanif (BAH),201902019,4,2,0,24,16,12,23,104.34,0,0,0,3,0
24,Azyan Farhath (Mald),201902019,2,2,1,24,22*,24,22,109.09,0,0,0,2,0
25,MO Bacarese (GIBR),201902019,3,2,0,24,13,12,37,64.86,0,0,0,0,1
26,OO Bascome (BMUDA),200802019,3,3,0,24,16,8,29,82.75,0,0,0,3,0
27,Bilal Tahir (KUW),201902019,4,4,0,24,13,6,21,114.28,0,0,1,1,1
28,JW Dernbach (ENG),201102014,34,7,2,24,12,4.8,21,114.28,0,0,1,3,0
29,Fareed Ahmad (AFG),201602019,14,1,1,24,24*,0,15,160,0,0,0,4,0
30,JN Gillespie (AUS),200502005,1,1,0,24,24,24,18,133.33,0,0,0,4,0
31,B Ivanov (),201902019,3,3,1,24,14,12,55,43.63,0,0,0,1,0
32,Jagjit Singh (Peru),201902019,4,4,0,24,12,6,30,80,0,0,0,1,0
33,MJ McClenaghan (ICC/NZ),201202018,29,8,4,24,10,6,23,104.34,0,0,2,1,2
34,Rameez Raja (2) (PAK),201102011,2,2,0,24,23,12,29,82.75,0,0,0,2,0
35,B Regmi (NEPAL),201402019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0
36,CP Schofield (ENG),200702007,4,4,3,24,9*,24,20,120,0,0,0,2,0
37,KJ Abbott (SA),201302016,21,6,4,23,9*,11.5,20,115,0,0,0,2,0
38,AB Barath (WI),201002011,2,2,0,23,15,11.5,39,58.97,0,0,0,3,0
39,Bilawal Bhatti (PAK),201302015,9,4,2,23,13*,11.5,14,164.28,0,0,1,2,1
40,DL Brangman (BMUDA),201902019,5,4,2,23,23*,11.5,25,92,0,0,2,2,1
41,C Floyd (NL),201902019,2,2,1,23,21,23,23,100,0,0,0,2,1
42,Habib Ahmadzai (Aut),201902019,5,3,2,23,15*,23,29,79.31,0,0,0,2,1
43,Hardev Singh (Chile),201902019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0
